date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:29	6685/6685	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:30%20GMT	http://tasarimussu.com.tr/en/haberler_bultenler.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/haberler_bultenler.html	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:29	351/351	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:13%20GMT	http://tasarimussu.com.tr/en/img/EN.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/EN.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:29	5942/5942	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:30%20GMT	http://tasarimussu.com.tr/en/studyo_felsefe.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/studyo_felsefe.html	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:29	97/97	---M--	200	added ('OK')	image/gif	date:Mon,%2028%20Sep%202020%2011:10:13%20GMT	http://tasarimussu.com.tr/en/img/menu_placeholder.gif	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/menu_placeholder.gif	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:30	812/812	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:13%20GMT	http://tasarimussu.com.tr/en/img/menu_studyo.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/menu_studyo.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:30	6132/6132	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:31%20GMT	http://tasarimussu.com.tr/en/hizmetler.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/hizmetler.html	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:30	924/924	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:14%20GMT	http://tasarimussu.com.tr/en/img/menu_hizmetler.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/menu_hizmetler.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:30	5711/5711	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:31%20GMT	http://tasarimussu.com.tr/en/iletisim.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/iletisim.html	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:31	865/865	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Sep%202020%2011:10:14%20GMT	http://tasarimussu.com.tr/en/img/menu_iletisim.png	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/img/menu_iletisim.png	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
17:47:31	14798/14798	---M-Z	200	added ('OK')	text/html	date:Fri,%2027%20Feb%202026%2014:47:32%20GMT	http://tasarimussu.com.tr/en/portfolyo_amb_50.php	C:/Users/boraa/Desktop/Tasarimussu%20Copy%20V2/Tasarimussu%20Copy%20V2/tasarimussu.com.tr/en/portfolyo_amb_50.html	(from http://tasarimussu.com.tr/en/haberler_bizden.php)
